Ime,Priimek,Pozicija,Stevilo_tekem,Minute_na_tekmo,Tocke,Met,Trojke,Prosti_meti
JaVale,McGee,C,42,8.5,4.4,64.0,40.0,
Thaddeus,Young,C,54,14.7,4.4,54.5,17.6,
Bismack,Biyombo,C,61,14.3,4.3,57.8,—,35.7
Moses,Brown,C,36,8.2,4.3,63.5,—,45.8
Xavier,Sneed,SF,4,12.0,4.3,50.0,50.0,
Paul,Reed,SF,69,10.9,4.2,59.3,16.7,
Admiral,Schofield,SG,37,12.2,4.2,45.1,32.4,
Ishmail,Wainright,SF,60,15.3,4.2,37.0,32.9,
McKinley,Wright IV,PG,27,12.4,4.2,46.9,32.1,
Blake,Griffin,C,41,13.9,4.1,48.5,34.8,
Serge,Ibaka,PF,16,11.6,4.1,48.1,33.3,
Isaiah,Roby,C,42,11.3,4.1,43.2,30.0,
Matisse,Thybulle,SF,71,16.9,4.1,43.5,36.5,
Daishen,Nix,PG,57,16.0,4.0,34.2,28.6,
Kenneth,Lofton Jr.,PF,24,7.3,5.0,52.7,35.3,
Omer,Yurtseven,C,9,9.2,4.4,59.3,42.9,
Michael,Carter-Williams,PG,4,11.0,4.3,42.9,33.3,
Kevon,Harris,SG,34,13.4,4.1,43.9,37.2,
Patrick,Baldwin Jr.,SF,31,7.3,3.9,39.4,38.1,
Gorgui,Dieng,C,31,11.5,3.9,38.5,28.0,
Bruno,Fernando,C,39,10.4,3.9,52.7,0.0,
Aaron,Holiday,PG,63,13.4,3.9,41.8,40.9,
Jabari,Walker,PF,56,11.1,3.9,41.9,28.6,
Xavier,Cooks,PF,10,12.6,3.8,60.7,0.0,
Darius,Days,PF,4,6.3,3.8,41.7,30.0,
Caleb,Houstan,SG,51,15.9,3.8,36.3,33.8,
Furkan,Korkmaz,SG,37,9.5,3.8,43.2,39.1,
Luke,Kornet,C,69,11.6,3.8,66.5,23.1,
Markieff,Morris,PF,35,10.1,3.8,40.9,39.4,
JT,Thor,PF,69,14.0,3.8,39.9,31.7,
David,Duke Jr.,PG,23,9.9,3.7,46.2,8.3,
Nathan,Knight,PF,38,7.7,3.7,56.8,36.4,
AJ,Lawson,SG,15,7.2,3.7,50.0,40.0,
Jordan,McLaughlin,PG,43,15.8,3.7,42.1,30.8,
Orlando,Robinson,C,31,13.7,3.7,52.8,0.0,
Bryn,Forbes,SG,25,10.7,3.6,36.1,30.4,
Matt,Ryan,SF,34,9.1,3.6,37.0,38.1,
Udoka,Azubuike,C,36,10.0,3.5,81.9,—,35.0
Damian,Jones,C,41,11.6,3.5,64.0,58.8,
Miles,McBride,PG,64,11.9,3.5,35.8,29.9,
P.J.,Tucker,PF,75,25.6,3.5,42.7,39.3,
Amir,Coffey,SF,50,12.5,3.4,38.6,27.5,
Taj,Gibson,C,49,9.8,3.4,52.0,33.3,
Kai,Jones,PF,46,12.0,3.4,55.8,21.1,
Wesley,Matthews,SG,52,15.7,3.4,36.3,31.5,
Micah,Potter,PF,7,7.4,3.4,66.7,57.1,
Jericho,Sims,C,52,15.6,3.4,77.6,0.0,
Anthony,Gill,PF,59,10.6,3.3,53.8,13.8,
Boban,Marjanovic,C,31,5.5,3.3,68.3,0.0,
